Model,Accuracy,F1-Score,Precision,Recall,ROC-AUC
1-NN Euclidean,0.8699186991869918,0.8691629294966907,0.87948905869969,0.8699186991869918,0.8703729684228703
Random Forest,0.8281068524970964,0.8280525815830118,0.8287229949783039,0.8281068524970964,0.9326018216744728
1-NN DTW,0.759581881533101,0.7547847369594658,0.7830064050220236,0.759581881533101,0.7604034016101532
XGBoost,0.44,0.36363636363636365,0.38095238095238093,0.34782608695652173,0.42190016103059585
SVM,0.4,0.5,0.45454545454545453,0.5555555555555556,0.610305958132045
